text,sentiment
Average delivery — nothing too exciting.,neutral
Impressive order — works perfectly and looks great.,positive
Impressive headset — works perfectly and looks great.,positive
This headset made my day! I'm really satisfied.,positive
Very disappointed with this tool. Not worth it.,negative
Impressive experience — works perfectly and looks great.,positive
Poor quality vacuum and horrible customer support.,negative
"It's a decent product, works as intended.",neutral
Fantastic purchase. Will definitely recommend to others.,positive
Superb movie with outstanding quality and value.,positive
"It's a decent car, works as intended.",neutral
This delivery is neither good nor bad.,neutral
Average device — nothing too exciting.,neutral
This tool is neither good nor bad.,neutral
I hate this purchase. It's a complete waste of money.,negative
Superb application with outstanding quality and value.,positive
Average tool — nothing too exciting.,neutral
Very disappointed with this tool. Not worth it.,negative
Worst movie I've ever bought. Totally useless.,negative
This vacuum is neither good nor bad.,neutral
Average software — nothing too exciting.,neutral
Average book — nothing too exciting.,neutral
I hate this purchase. It's a complete waste of money.,negative
"It's a decent purchase, works as intended.",neutral
Mediocre product. You get what you pay for.,neutral
This meal made my day! I'm really satisfied.,positive
This application is neither good nor bad.,neutral
I hate this camera. It's a complete waste of money.,negative
Impressive headset — works perfectly and looks great.,positive
This experience is okay. Does the job.,neutral
Impressive device — works perfectly and looks great.,positive
Very disappointed with this movie. Not worth it.,negative
I hate this order. It's a complete waste of money.,negative
Very disappointed with this purchase. Not worth it.,negative
Impressive phone — works perfectly and looks great.,positive
Impressive application — works perfectly and looks great.,positive
I absolutely love this delivery! It exceeded all my expectations.,positive
This vacuum is neither good nor bad.,neutral
Average vacuum — nothing too exciting.,neutral
I absolutely love this movie! It exceeded all my expectations.,positive
Mediocre movie. You get what you pay for.,neutral
Worst device I've ever bought. Totally useless.,negative
I absolutely love this order! It exceeded all my expectations.,positive
Mediocre movie. You get what you pay for.,neutral
Terrible book — broke within days of use.,negative
Average purchase — nothing too exciting.,neutral
I hate this device. It's a complete waste of money.,negative
I hate this car. It's a complete waste of money.,negative
I absolutely love this car! It exceeded all my expectations.,positive
This movie is okay. Does the job.,neutral
Worst purchase I've ever bought. Totally useless.,negative
Very disappointed with this car. Not worth it.,negative
This vacuum is neither good nor bad.,neutral
Impressive laptop — works perfectly and looks great.,positive
Worst movie I've ever bought. Totally useless.,negative
Terrible car — broke within days of use.,negative
I absolutely love this vacuum! It exceeded all my expectations.,positive
This application made my day! I'm really satisfied.,positive
This application is neither good nor bad.,neutral
Fantastic software. Will definitely recommend to others.,positive
Impressive device — works perfectly and looks great.,positive
I hate this movie. It's a complete waste of money.,negative
This subscription is neither good nor bad.,neutral
Poor quality meal and horrible customer support.,negative
I hate this subscription. It's a complete waste of money.,negative
Average software — nothing too exciting.,neutral
I hate this order. It's a complete waste of money.,negative
This software is neither good nor bad.,neutral
Worst camera I've ever bought. Totally useless.,negative
I absolutely love this tool! It exceeded all my expectations.,positive
Superb tool with outstanding quality and value.,positive
Fantastic product. Will definitely recommend to others.,positive
This book is neither good nor bad.,neutral
I hate this device. It's a complete waste of money.,negative
I hate this laptop. It's a complete waste of money.,negative
This headset is neither good nor bad.,neutral
This vacuum is neither good nor bad.,neutral
Average purchase — nothing too exciting.,neutral
I hate this software. It's a complete waste of money.,negative
Superb headset with outstanding quality and value.,positive
Very disappointed with this tool. Not worth it.,negative
Worst product I've ever bought. Totally useless.,negative
Poor quality movie and horrible customer support.,negative
I absolutely love this product! It exceeded all my expectations.,positive
Impressive purchase — works perfectly and looks great.,positive
I absolutely love this subscription! It exceeded all my expectations.,positive
Terrible laptop — broke within days of use.,negative
Impressive vacuum — works perfectly and looks great.,positive
Very disappointed with this order. Not worth it.,negative
"It's a decent headset, works as intended.",neutral
This meal is neither good nor bad.,neutral
Fantastic laptop. Will definitely recommend to others.,positive
Worst delivery I've ever bought. Totally useless.,negative
Superb movie with outstanding quality and value.,positive
I absolutely love this movie! It exceeded all my expectations.,positive
This application is neither good nor bad.,neutral
I hate this product. It's a complete waste of money.,negative
Fantastic book. Will definitely recommend to others.,positive
Fantastic movie. Will definitely recommend to others.,positive
Very disappointed with this tool. Not worth it.,negative
Superb device with outstanding quality and value.,positive
Superb meal with outstanding quality and value.,positive
This subscription is okay. Does the job.,neutral
Average software — nothing too exciting.,neutral
Mediocre book. You get what you pay for.,neutral
I absolutely love this service! It exceeded all my expectations.,positive
I hate this car. It's a complete waste of money.,negative
Superb product with outstanding quality and value.,positive
Fantastic headset. Will definitely recommend to others.,positive
Superb product with outstanding quality and value.,positive
Poor quality delivery and horrible customer support.,negative
Terrible software — broke within days of use.,negative
This product is neither good nor bad.,neutral
Terrible device — broke within days of use.,negative
Mediocre car. You get what you pay for.,neutral
Superb delivery with outstanding quality and value.,positive
This headset is neither good nor bad.,neutral
Worst experience I've ever bought. Totally useless.,negative
Superb headset with outstanding quality and value.,positive
This service is okay. Does the job.,neutral
Terrible phone — broke within days of use.,negative
I absolutely love this application! It exceeded all my expectations.,positive
Poor quality order and horrible customer support.,negative
"It's a decent laptop, works as intended.",neutral
Very disappointed with this purchase. Not worth it.,negative
I absolutely love this software! It exceeded all my expectations.,positive
Average order — nothing too exciting.,neutral
Average car — nothing too exciting.,neutral
Poor quality laptop and horrible customer support.,negative
Average meal — nothing too exciting.,neutral
This application is okay. Does the job.,neutral
Mediocre car. You get what you pay for.,neutral
"It's a decent meal, works as intended.",neutral
I hate this headset. It's a complete waste of money.,negative
I hate this service. It's a complete waste of money.,negative
This device is neither good nor bad.,neutral
Terrible laptop — broke within days of use.,negative
This book made my day! I'm really satisfied.,positive
This software is neither good nor bad.,neutral
Mediocre meal. You get what you pay for.,neutral
Mediocre product. You get what you pay for.,neutral
Mediocre order. You get what you pay for.,neutral
Impressive order — works perfectly and looks great.,positive
This headset is okay. Does the job.,neutral
Impressive car — works perfectly and looks great.,positive
"It's a decent tool, works as intended.",neutral
Average experience — nothing too exciting.,neutral
Terrible tool — broke within days of use.,negative
Superb meal with outstanding quality and value.,positive
This book is okay. Does the job.,neutral
Impressive subscription — works perfectly and looks great.,positive
Very disappointed with this meal. Not worth it.,negative
Worst phone I've ever bought. Totally useless.,negative
Fantastic movie. Will definitely recommend to others.,positive
Terrible movie — broke within days of use.,negative
"It's a decent experience, works as intended.",neutral
This tool is neither good nor bad.,neutral
Superb vacuum with outstanding quality and value.,positive
Very disappointed with this order. Not worth it.,negative
This application is okay. Does the job.,neutral
Very disappointed with this book. Not worth it.,negative
Worst service I've ever bought. Totally useless.,negative
Fantastic headset. Will definitely recommend to others.,positive
Poor quality laptop and horrible customer support.,negative
This delivery is okay. Does the job.,neutral
Terrible experience — broke within days of use.,negative
Terrible vacuum — broke within days of use.,negative
Superb camera with outstanding quality and value.,positive
Poor quality purchase and horrible customer support.,negative
I hate this tool. It's a complete waste of money.,negative
This product is neither good nor bad.,neutral
Very disappointed with this experience. Not worth it.,negative
Very disappointed with this laptop. Not worth it.,negative
"It's a decent phone, works as intended.",neutral
I absolutely love this subscription! It exceeded all my expectations.,positive
This application made my day! I'm really satisfied.,positive
Fantastic phone. Will definitely recommend to others.,positive
Average vacuum — nothing too exciting.,neutral
Superb service with outstanding quality and value.,positive
"It's a decent headset, works as intended.",neutral
"It's a decent camera, works as intended.",neutral
Mediocre service. You get what you pay for.,neutral
Superb service with outstanding quality and value.,positive
Terrible delivery — broke within days of use.,negative
This order is neither good nor bad.,neutral
"It's a decent delivery, works as intended.",neutral
I absolutely love this tool! It exceeded all my expectations.,positive
"It's a decent vacuum, works as intended.",neutral
Superb delivery with outstanding quality and value.,positive
This headset is neither good nor bad.,neutral
I hate this vacuum. It's a complete waste of money.,negative
I hate this order. It's a complete waste of money.,negative
Superb experience with outstanding quality and value.,positive
Worst book I've ever bought. Totally useless.,negative
"It's a decent headset, works as intended.",neutral
Mediocre device. You get what you pay for.,neutral
Very disappointed with this laptop. Not worth it.,negative
"It's a decent camera, works as intended.",neutral
I hate this application. It's a complete waste of money.,negative
"It's a decent device, works as intended.",neutral
Worst tool I've ever bought. Totally useless.,negative
Worst service I've ever bought. Totally useless.,negative
Terrible order — broke within days of use.,negative
Terrible experience — broke within days of use.,negative
Very disappointed with this experience. Not worth it.,negative
Fantastic camera. Will definitely recommend to others.,positive
I hate this delivery. It's a complete waste of money.,negative
Superb car with outstanding quality and value.,positive
This product made my day! I'm really satisfied.,positive
Terrible car — broke within days of use.,negative
Superb device with outstanding quality and value.,positive
This service is okay. Does the job.,neutral
This vacuum made my day! I'm really satisfied.,positive
I hate this tool. It's a complete waste of money.,negative
Worst book I've ever bought. Totally useless.,negative
I hate this vacuum. It's a complete waste of money.,negative
This order is okay. Does the job.,neutral
Impressive device — works perfectly and looks great.,positive
"It's a decent phone, works as intended.",neutral
Fantastic meal. Will definitely recommend to others.,positive
I hate this vacuum. It's a complete waste of money.,negative
Average meal — nothing too exciting.,neutral
This delivery is neither good nor bad.,neutral
I hate this headset. It's a complete waste of money.,negative
Average movie — nothing too exciting.,neutral
Poor quality subscription and horrible customer support.,negative
Average car — nothing too exciting.,neutral
Mediocre software. You get what you pay for.,neutral
I hate this application. It's a complete waste of money.,negative
Terrible purchase — broke within days of use.,negative
Worst application I've ever bought. Totally useless.,negative
Superb subscription with outstanding quality and value.,positive
Average phone — nothing too exciting.,neutral
Impressive camera — works perfectly and looks great.,positive
This application is okay. Does the job.,neutral
Worst software I've ever bought. Totally useless.,negative
This phone is okay. Does the job.,neutral
Poor quality delivery and horrible customer support.,negative
Average phone — nothing too exciting.,neutral
This car made my day! I'm really satisfied.,positive
This experience is neither good nor bad.,neutral
"It's a decent meal, works as intended.",neutral
Impressive vacuum — works perfectly and looks great.,positive
This experience is neither good nor bad.,neutral
Mediocre tool. You get what you pay for.,neutral
I hate this service. It's a complete waste of money.,negative
Average headset — nothing too exciting.,neutral
Average camera — nothing too exciting.,neutral
Worst tool I've ever bought. Totally useless.,negative
Impressive device — works perfectly and looks great.,positive
Very disappointed with this book. Not worth it.,negative
Mediocre device. You get what you pay for.,neutral
Worst subscription I've ever bought. Totally useless.,negative
Fantastic book. Will definitely recommend to others.,positive
Terrible purchase — broke within days of use.,negative
This application is neither good nor bad.,neutral
Impressive experience — works perfectly and looks great.,positive
This software is okay. Does the job.,neutral
I hate this phone. It's a complete waste of money.,negative
Fantastic purchase. Will definitely recommend to others.,positive
Very disappointed with this application. Not worth it.,negative
"It's a decent order, works as intended.",neutral
"It's a decent meal, works as intended.",neutral
This order is okay. Does the job.,neutral
This device is okay. Does the job.,neutral
"It's a decent car, works as intended.",neutral
Impressive device — works perfectly and looks great.,positive
I absolutely love this software! It exceeded all my expectations.,positive
Poor quality service and horrible customer support.,negative
I absolutely love this laptop! It exceeded all my expectations.,positive
Worst software I've ever bought. Totally useless.,negative
This software is okay. Does the job.,neutral
Average book — nothing too exciting.,neutral
Mediocre tool. You get what you pay for.,neutral
Mediocre tool. You get what you pay for.,neutral
This service is okay. Does the job.,neutral
Superb order with outstanding quality and value.,positive
Mediocre tool. You get what you pay for.,neutral
Worst car I've ever bought. Totally useless.,negative
Fantastic experience. Will definitely recommend to others.,positive
Mediocre movie. You get what you pay for.,neutral
"It's a decent product, works as intended.",neutral
Superb book with outstanding quality and value.,positive
Mediocre device. You get what you pay for.,neutral
Poor quality product and horrible customer support.,negative
I hate this car. It's a complete waste of money.,negative
Terrible car — broke within days of use.,negative
Terrible experience — broke within days of use.,negative
Worst application I've ever bought. Totally useless.,negative
"It's a decent subscription, works as intended.",neutral
Superb tool with outstanding quality and value.,positive
Worst product I've ever bought. Totally useless.,negative
Terrible camera — broke within days of use.,negative
Worst experience I've ever bought. Totally useless.,negative
Mediocre service. You get what you pay for.,neutral
Terrible software — broke within days of use.,negative
Average vacuum — nothing too exciting.,neutral
This delivery is okay. Does the job.,neutral
Impressive headset — works perfectly and looks great.,positive
I absolutely love this subscription! It exceeded all my expectations.,positive
Fantastic order. Will definitely recommend to others.,positive
I absolutely love this experience! It exceeded all my expectations.,positive
Very disappointed with this product. Not worth it.,negative
Worst software I've ever bought. Totally useless.,negative
Poor quality device and horrible customer support.,negative
Very disappointed with this book. Not worth it.,negative
I absolutely love this camera! It exceeded all my expectations.,positive
Terrible meal — broke within days of use.,negative
Impressive book — works perfectly and looks great.,positive
Superb order with outstanding quality and value.,positive
I absolutely love this device! It exceeded all my expectations.,positive
Impressive car — works perfectly and looks great.,positive
This device is okay. Does the job.,neutral
Superb tool with outstanding quality and value.,positive
Fantastic device. Will definitely recommend to others.,positive
Worst movie I've ever bought. Totally useless.,negative
Very disappointed with this meal. Not worth it.,negative
I absolutely love this meal! It exceeded all my expectations.,positive
Very disappointed with this car. Not worth it.,negative
Worst car I've ever bought. Totally useless.,negative
Poor quality meal and horrible customer support.,negative
Average meal — nothing too exciting.,neutral
Very disappointed with this software. Not worth it.,negative
Average book — nothing too exciting.,neutral
This service is okay. Does the job.,neutral
Terrible vacuum — broke within days of use.,negative
This purchase made my day! I'm really satisfied.,positive
Mediocre laptop. You get what you pay for.,neutral
Very disappointed with this device. Not worth it.,negative
Poor quality camera and horrible customer support.,negative
This vacuum is okay. Does the job.,neutral
"It's a decent order, works as intended.",neutral
Terrible camera — broke within days of use.,negative
I hate this headset. It's a complete waste of money.,negative
Impressive software — works perfectly and looks great.,positive
"It's a decent product, works as intended.",neutral
Terrible purchase — broke within days of use.,negative
I hate this order. It's a complete waste of money.,negative
This meal is neither good nor bad.,neutral
Terrible laptop — broke within days of use.,negative
Very disappointed with this service. Not worth it.,negative
Average order — nothing too exciting.,neutral
"It's a decent tool, works as intended.",neutral
Mediocre meal. You get what you pay for.,neutral
Very disappointed with this subscription. Not worth it.,negative
This vacuum is neither good nor bad.,neutral
Fantastic car. Will definitely recommend to others.,positive
Superb service with outstanding quality and value.,positive
Worst movie I've ever bought. Totally useless.,negative
This subscription is neither good nor bad.,neutral
I absolutely love this camera! It exceeded all my expectations.,positive
Impressive purchase — works perfectly and looks great.,positive
Superb phone with outstanding quality and value.,positive
Superb vacuum with outstanding quality and value.,positive
"It's a decent subscription, works as intended.",neutral
I absolutely love this phone! It exceeded all my expectations.,positive
This order made my day! I'm really satisfied.,positive
"It's a decent camera, works as intended.",neutral
I absolutely love this car! It exceeded all my expectations.,positive
Mediocre subscription. You get what you pay for.,neutral
Superb application with outstanding quality and value.,positive
I absolutely love this laptop! It exceeded all my expectations.,positive
Poor quality purchase and horrible customer support.,negative
Very disappointed with this device. Not worth it.,negative
This phone is okay. Does the job.,neutral
I hate this tool. It's a complete waste of money.,negative
Impressive movie — works perfectly and looks great.,positive
Mediocre movie. You get what you pay for.,neutral
Poor quality order and horrible customer support.,negative
Very disappointed with this service. Not worth it.,negative
Average vacuum — nothing too exciting.,neutral
Fantastic meal. Will definitely recommend to others.,positive
This phone is okay. Does the job.,neutral
Impressive software — works perfectly and looks great.,positive
Superb device with outstanding quality and value.,positive
I absolutely love this vacuum! It exceeded all my expectations.,positive
Impressive movie — works perfectly and looks great.,positive
Worst product I've ever bought. Totally useless.,negative
Poor quality purchase and horrible customer support.,negative
This laptop is neither good nor bad.,neutral
Very disappointed with this headset. Not worth it.,negative
This order is neither good nor bad.,neutral
Mediocre delivery. You get what you pay for.,neutral
"It's a decent book, works as intended.",neutral
I hate this product. It's a complete waste of money.,negative
I absolutely love this headset! It exceeded all my expectations.,positive
"It's a decent device, works as intended.",neutral
Terrible tool — broke within days of use.,negative
Superb application with outstanding quality and value.,positive
Very disappointed with this headset. Not worth it.,negative
I hate this camera. It's a complete waste of money.,negative
Average subscription — nothing too exciting.,neutral
Very disappointed with this device. Not worth it.,negative
This tool is okay. Does the job.,neutral
Poor quality delivery and horrible customer support.,negative
This car made my day! I'm really satisfied.,positive
This phone made my day! I'm really satisfied.,positive
Worst vacuum I've ever bought. Totally useless.,negative
Impressive laptop — works perfectly and looks great.,positive
Poor quality subscription and horrible customer support.,negative
This order is neither good nor bad.,neutral
Average purchase — nothing too exciting.,neutral
This phone is neither good nor bad.,neutral
This experience made my day! I'm really satisfied.,positive
I hate this laptop. It's a complete waste of money.,negative
Mediocre purchase. You get what you pay for.,neutral
"It's a decent order, works as intended.",neutral
Poor quality experience and horrible customer support.,negative
Poor quality product and horrible customer support.,negative
This camera is neither good nor bad.,neutral
I hate this headset. It's a complete waste of money.,negative
This meal made my day! I'm really satisfied.,positive
This tool is okay. Does the job.,neutral
Very disappointed with this car. Not worth it.,negative
Fantastic phone. Will definitely recommend to others.,positive
Poor quality camera and horrible customer support.,negative
Average movie — nothing too exciting.,neutral
"It's a decent application, works as intended.",neutral
This vacuum made my day! I'm really satisfied.,positive
This laptop made my day! I'm really satisfied.,positive
This meal is neither good nor bad.,neutral
This delivery is neither good nor bad.,neutral
Average software — nothing too exciting.,neutral
"It's a decent book, works as intended.",neutral
Terrible phone — broke within days of use.,negative
This subscription made my day! I'm really satisfied.,positive
Mediocre phone. You get what you pay for.,neutral
"It's a decent headset, works as intended.",neutral
Poor quality software and horrible customer support.,negative
Terrible camera — broke within days of use.,negative
Superb phone with outstanding quality and value.,positive
Poor quality tool and horrible customer support.,negative
Impressive laptop — works perfectly and looks great.,positive
I hate this vacuum. It's a complete waste of money.,negative
This device is neither good nor bad.,neutral
This software is okay. Does the job.,neutral
Very disappointed with this car. Not worth it.,negative
This meal made my day! I'm really satisfied.,positive
Terrible subscription — broke within days of use.,negative
Average product — nothing too exciting.,neutral
This experience made my day! I'm really satisfied.,positive
Very disappointed with this delivery. Not worth it.,negative
Average experience — nothing too exciting.,neutral
Impressive experience — works perfectly and looks great.,positive
Mediocre experience. You get what you pay for.,neutral
I absolutely love this tool! It exceeded all my expectations.,positive
Average book — nothing too exciting.,neutral
Average movie — nothing too exciting.,neutral
I absolutely love this movie! It exceeded all my expectations.,positive
This book is neither good nor bad.,neutral
Fantastic movie. Will definitely recommend to others.,positive
This vacuum made my day! I'm really satisfied.,positive
I hate this product. It's a complete waste of money.,negative
This meal made my day! I'm really satisfied.,positive
This vacuum is okay. Does the job.,neutral
Mediocre tool. You get what you pay for.,neutral
Superb subscription with outstanding quality and value.,positive
This product made my day! I'm really satisfied.,positive
Fantastic application. Will definitely recommend to others.,positive
Average purchase — nothing too exciting.,neutral
Average movie — nothing too exciting.,neutral
Mediocre meal. You get what you pay for.,neutral
Poor quality car and horrible customer support.,negative
I hate this application. It's a complete waste of money.,negative
Fantastic device. Will definitely recommend to others.,positive
Average order — nothing too exciting.,neutral
This movie is okay. Does the job.,neutral
"It's a decent phone, works as intended.",neutral
I hate this service. It's a complete waste of money.,negative
Average meal — nothing too exciting.,neutral
I hate this experience. It's a complete waste of money.,negative
Poor quality purchase and horrible customer support.,negative
Average laptop — nothing too exciting.,neutral
This software made my day! I'm really satisfied.,positive
Worst service I've ever bought. Totally useless.,negative
I hate this meal. It's a complete waste of money.,negative
Fantastic laptop. Will definitely recommend to others.,positive
I hate this camera. It's a complete waste of money.,negative
"It's a decent product, works as intended.",neutral
This meal made my day! I'm really satisfied.,positive
Fantastic laptop. Will definitely recommend to others.,positive
I absolutely love this purchase! It exceeded all my expectations.,positive
Mediocre order. You get what you pay for.,neutral
Average camera — nothing too exciting.,neutral
I hate this application. It's a complete waste of money.,negative
Average car — nothing too exciting.,neutral
Average meal — nothing too exciting.,neutral
Fantastic movie. Will definitely recommend to others.,positive
Mediocre delivery. You get what you pay for.,neutral
This laptop is okay. Does the job.,neutral
This laptop is okay. Does the job.,neutral
I hate this device. It's a complete waste of money.,negative
Impressive phone — works perfectly and looks great.,positive
Fantastic camera. Will definitely recommend to others.,positive
Fantastic laptop. Will definitely recommend to others.,positive
Very disappointed with this camera. Not worth it.,negative
Superb camera with outstanding quality and value.,positive
Terrible product — broke within days of use.,negative
This experience made my day! I'm really satisfied.,positive
Impressive order — works perfectly and looks great.,positive
Superb headset with outstanding quality and value.,positive
Terrible experience — broke within days of use.,negative
Impressive purchase — works perfectly and looks great.,positive
Poor quality subscription and horrible customer support.,negative
"It's a decent phone, works as intended.",neutral
Worst order I've ever bought. Totally useless.,negative
This application is neither good nor bad.,neutral
I absolutely love this book! It exceeded all my expectations.,positive
Fantastic laptop. Will definitely recommend to others.,positive
Poor quality delivery and horrible customer support.,negative
Average delivery — nothing too exciting.,neutral
Mediocre camera. You get what you pay for.,neutral
I hate this book. It's a complete waste of money.,negative
Worst application I've ever bought. Totally useless.,negative
This subscription is okay. Does the job.,neutral
Fantastic tool. Will definitely recommend to others.,positive
I absolutely love this experience! It exceeded all my expectations.,positive
"It's a decent vacuum, works as intended.",neutral
Superb movie with outstanding quality and value.,positive
I absolutely love this book! It exceeded all my expectations.,positive
Poor quality tool and horrible customer support.,negative
This delivery is okay. Does the job.,neutral
This camera made my day! I'm really satisfied.,positive
This laptop made my day! I'm really satisfied.,positive
This delivery is neither good nor bad.,neutral
Terrible movie — broke within days of use.,negative
Worst service I've ever bought. Totally useless.,negative
I absolutely love this subscription! It exceeded all my expectations.,positive
Average movie — nothing too exciting.,neutral
Mediocre experience. You get what you pay for.,neutral
Superb car with outstanding quality and value.,positive
Average headset — nothing too exciting.,neutral
This device is neither good nor bad.,neutral
"It's a decent device, works as intended.",neutral
This product is okay. Does the job.,neutral
Poor quality device and horrible customer support.,negative
Very disappointed with this product. Not worth it.,negative
Superb car with outstanding quality and value.,positive
This experience is neither good nor bad.,neutral
Very disappointed with this laptop. Not worth it.,negative
"It's a decent car, works as intended.",neutral
Poor quality experience and horrible customer support.,negative
This headset is neither good nor bad.,neutral
Worst laptop I've ever bought. Totally useless.,negative
"It's a decent software, works as intended.",neutral
Very disappointed with this vacuum. Not worth it.,negative
I absolutely love this order! It exceeded all my expectations.,positive
Mediocre service. You get what you pay for.,neutral
Poor quality order and horrible customer support.,negative
Average headset — nothing too exciting.,neutral
Terrible car — broke within days of use.,negative
Worst car I've ever bought. Totally useless.,negative
I hate this software. It's a complete waste of money.,negative
Average movie — nothing too exciting.,neutral
I absolutely love this delivery! It exceeded all my expectations.,positive
Superb movie with outstanding quality and value.,positive
This meal is neither good nor bad.,neutral
Poor quality subscription and horrible customer support.,negative
This camera is okay. Does the job.,neutral
This camera made my day! I'm really satisfied.,positive
I absolutely love this subscription! It exceeded all my expectations.,positive
I absolutely love this subscription! It exceeded all my expectations.,positive
Average camera — nothing too exciting.,neutral
Poor quality laptop and horrible customer support.,negative
Fantastic subscription. Will definitely recommend to others.,positive
Mediocre application. You get what you pay for.,neutral
Worst movie I've ever bought. Totally useless.,negative
Terrible subscription — broke within days of use.,negative
Terrible tool — broke within days of use.,negative
Impressive application — works perfectly and looks great.,positive
This experience made my day! I'm really satisfied.,positive
I absolutely love this device! It exceeded all my expectations.,positive
Fantastic service. Will definitely recommend to others.,positive
Impressive camera — works perfectly and looks great.,positive
Mediocre order. You get what you pay for.,neutral
I hate this product. It's a complete waste of money.,negative
I hate this book. It's a complete waste of money.,negative
Impressive book — works perfectly and looks great.,positive
This purchase is neither good nor bad.,neutral
I absolutely love this product! It exceeded all my expectations.,positive
Poor quality order and horrible customer support.,negative
I hate this tool. It's a complete waste of money.,negative
Very disappointed with this book. Not worth it.,negative
This meal made my day! I'm really satisfied.,positive
Impressive headset — works perfectly and looks great.,positive
Mediocre product. You get what you pay for.,neutral
Mediocre application. You get what you pay for.,neutral
I absolutely love this meal! It exceeded all my expectations.,positive
This purchase made my day! I'm really satisfied.,positive
Fantastic purchase. Will definitely recommend to others.,positive
Superb phone with outstanding quality and value.,positive
This meal made my day! I'm really satisfied.,positive
Superb camera with outstanding quality and value.,positive
"It's a decent camera, works as intended.",neutral
Fantastic laptop. Will definitely recommend to others.,positive
Average tool — nothing too exciting.,neutral
Worst application I've ever bought. Totally useless.,negative
Poor quality software and horrible customer support.,negative
I hate this laptop. It's a complete waste of money.,negative
Average service — nothing too exciting.,neutral
Mediocre car. You get what you pay for.,neutral
Very disappointed with this headset. Not worth it.,negative
"It's a decent car, works as intended.",neutral
Superb application with outstanding quality and value.,positive
I hate this purchase. It's a complete waste of money.,negative
This car made my day! I'm really satisfied.,positive
Impressive vacuum — works perfectly and looks great.,positive
Worst laptop I've ever bought. Totally useless.,negative
I absolutely love this laptop! It exceeded all my expectations.,positive
This camera made my day! I'm really satisfied.,positive
Poor quality car and horrible customer support.,negative
I hate this laptop. It's a complete waste of money.,negative
This software is okay. Does the job.,neutral
This software is okay. Does the job.,neutral
Fantastic tool. Will definitely recommend to others.,positive
Impressive movie — works perfectly and looks great.,positive
I hate this software. It's a complete waste of money.,negative
Superb order with outstanding quality and value.,positive
I absolutely love this camera! It exceeded all my expectations.,positive
Mediocre vacuum. You get what you pay for.,neutral
Mediocre product. You get what you pay for.,neutral
Terrible service — broke within days of use.,negative
Mediocre meal. You get what you pay for.,neutral
This software made my day! I'm really satisfied.,positive
This delivery is okay. Does the job.,neutral
"It's a decent application, works as intended.",neutral
Mediocre subscription. You get what you pay for.,neutral
"It's a decent car, works as intended.",neutral
Fantastic order. Will definitely recommend to others.,positive
Fantastic delivery. Will definitely recommend to others.,positive
This car made my day! I'm really satisfied.,positive
Fantastic laptop. Will definitely recommend to others.,positive
Terrible tool — broke within days of use.,negative
I absolutely love this meal! It exceeded all my expectations.,positive
Impressive subscription — works perfectly and looks great.,positive
Fantastic book. Will definitely recommend to others.,positive
Terrible camera — broke within days of use.,negative
Mediocre phone. You get what you pay for.,neutral
Worst product I've ever bought. Totally useless.,negative
Impressive device — works perfectly and looks great.,positive
This headset is neither good nor bad.,neutral
"It's a decent book, works as intended.",neutral
This book is okay. Does the job.,neutral
Very disappointed with this vacuum. Not worth it.,negative
Worst vacuum I've ever bought. Totally useless.,negative
I hate this order. It's a complete waste of money.,negative
I hate this device. It's a complete waste of money.,negative
This movie made my day! I'm really satisfied.,positive
I hate this service. It's a complete waste of money.,negative
Superb camera with outstanding quality and value.,positive
This meal is okay. Does the job.,neutral
Poor quality phone and horrible customer support.,negative
Mediocre software. You get what you pay for.,neutral
This order is neither good nor bad.,neutral
Fantastic order. Will definitely recommend to others.,positive
Fantastic device. Will definitely recommend to others.,positive
Terrible application — broke within days of use.,negative
I absolutely love this purchase! It exceeded all my expectations.,positive
Fantastic laptop. Will definitely recommend to others.,positive
This experience made my day! I'm really satisfied.,positive
This phone is neither good nor bad.,neutral
Worst product I've ever bought. Totally useless.,negative
This delivery is okay. Does the job.,neutral
Fantastic experience. Will definitely recommend to others.,positive
Very disappointed with this experience. Not worth it.,negative
Worst subscription I've ever bought. Totally useless.,negative
Worst purchase I've ever bought. Totally useless.,negative
This order is neither good nor bad.,neutral
Terrible laptop — broke within days of use.,negative
I hate this headset. It's a complete waste of money.,negative
Worst subscription I've ever bought. Totally useless.,negative
This meal is neither good nor bad.,neutral
Superb headset with outstanding quality and value.,positive
Average camera — nothing too exciting.,neutral
I hate this subscription. It's a complete waste of money.,negative
Mediocre purchase. You get what you pay for.,neutral
This subscription made my day! I'm really satisfied.,positive
Fantastic delivery. Will definitely recommend to others.,positive
This application is neither good nor bad.,neutral
Very disappointed with this device. Not worth it.,negative
Fantastic device. Will definitely recommend to others.,positive
This order is neither good nor bad.,neutral
This subscription is neither good nor bad.,neutral
This subscription is neither good nor bad.,neutral
I hate this software. It's a complete waste of money.,negative
Very disappointed with this movie. Not worth it.,negative
"It's a decent tool, works as intended.",neutral
Impressive experience — works perfectly and looks great.,positive
"It's a decent tool, works as intended.",neutral
This order is neither good nor bad.,neutral
Average order — nothing too exciting.,neutral
This headset made my day! I'm really satisfied.,positive
This meal made my day! I'm really satisfied.,positive
Terrible movie — broke within days of use.,negative
Very disappointed with this application. Not worth it.,negative
Average software — nothing too exciting.,neutral
This meal is neither good nor bad.,neutral
Impressive car — works perfectly and looks great.,positive
Fantastic purchase. Will definitely recommend to others.,positive
This subscription is okay. Does the job.,neutral
Very disappointed with this phone. Not worth it.,negative
